id,temp,humidity,wind,game_id
59,70,0,3,20181011PHINYG
60,52,0,0,20181014CARWAS
61,89,0,8,20181014CHIMIA
62,51,0,6,20181014PITCIN
63,51,0,9,20181014LACCLE
64,60,0,7,20181014INDNYJ
65,52,0,10,20181014SEAOAK
66,25,0,6,20181014LARDEN
67,66,0,4,20181014BALTEN
68,45,0,0,20181014KANNWE
69,37,0,5,20181015SFOGNB
70,66,0,6,20181021TENLAC
71,49,0,19,20181021CARPHI
72,44,0,9,20181021NWECHI
73,89,0,8,20181021DETMIA
74,79,0,7,20181021CLETAM
75,68,0,15,20181021HOUJAX
76,46,0,16,20181021MINNYJ
77,54,0,15,20181021NORBAL
78,52,0,12,20181021DALWAS
79,62,0,5,20181021LARSFO
80,59,0,10,20181021CINKAN
81,48,0,12,20181028PHIJAX
82,61,0,10,20181028BALCAR
83,48,0,18,20181028NYJCHI
84,55,0,7,20181028TAMCIN
85,47,0,11,20181028CLEPIT
86,56,0,12,20181028DENKAN
87,51,0,11,20181028WASNYG
88,69,0,8,20181028INDOAK
89,82,0,1,20181028GNBLAR
90,46,0,16,20181029NWEBUF
91,82,0,8,20181101OAKSFO
92,55,0,5,20181104ATLWAS
93,62,0,8,20181104TAMCAR
94,55,0,6,20181104PITBAL
95,49,0,12,20181104CHIBUF
96,53,0,16,20181104KANCLE
97,87,0,16,20181104NYJMIA
98,56,0,4,20181104LACSEA
99,53,0,3,20181104HOUDEN
100,40,0,2,20181104GNBNWE
101,40,0,4,20181108CARPIT
102,36,0,9,20181111ATLCLE
103,37,0,12,20181111DETCHI
104,39,0,6,20181111NORCIN
105,43,0,5,20181111ARIKAN
106,82,0,3,20181111WASTAM
107,46,0,10,20181111BUFNYJ
108,46,0,4,20181111NWETEN
