id,refPosition,officialId,gameId
537,Back Judge,Steven Patrick,20181007DALHOU
538,Side Judge,Gary Cavaletto,20181007DALHOU
539,Field Judge,Mearl Robinson,20181007DALHOU
540,Referee,Carl Cheffers,20181008WASNOR
541,Umpire,Barry Anderson,20181008WASNOR
542,Down Judge,Hugo Cruz,20181008WASNOR
543,Line Judge,Gary Arthur,20181008WASNOR
544,Back Judge,Greg Meyer,20181008WASNOR
545,Side Judge,Eugene Hall,20181008WASNOR
546,Field Judge,Land Clark,20181008WASNOR
547,Referee,Ron Torbert,20181011PHINYG
548,Umpire,Dan Ferrell,20181011PHINYG
549,Down Judge,Sarah Thomas,20181011PHINYG
550,Line Judge,Mark Steinkerchner,20181011PHINYG
551,Back Judge,Anthony Josselyn,20181011PHINYG
552,Side Judge,Scott Edwards,20181011PHINYG
553,Field Judge,Jimmy Buchanan,20181011PHINYG
554,Referee,Clay Martin,20181014CARWAS
555,Umpire,Fred Bryan,20181014CARWAS
556,Down Judge,Danny Short,20181014CARWAS
557,Line Judge,Kent Payne,20181014CARWAS
558,Back Judge,Gregory Wilson,20181014CARWAS
559,Side Judge,James Coleman,20181014CARWAS
