id,date,season,week,attendance,stadiumId,gameDuration,roofType
20181118DENLAC,2018-11-18T16:05:00,2018,Week 11,25462,StubHub Center,3:10:00,
20181118PHINOR,2018-11-18T16:25:00,2018,Week 11,73042,Mercedes-Benz Superdome,3:07:00,
20181118MINCHI,2018-11-18T20:20:00,2018,Week 11,61651,Soldier Field,3:03:00,
20181119KANLAR,2018-11-19T20:15:00,2018,Week 11,77002,Los Angeles Memorial Coliseum,3:42:00,
20181122CHIDET,2018-11-22T12:30:00,2018,Week 12,65684,Ford Field,3:02:00,
20181122WASDAL,2018-11-22T16:30:00,2018,Week 12,92076,AT&T Stadium,3:36:00,closed
20181122ATLNOR,2018-11-22T20:20:00,2018,Week 12,73017,Mercedes-Benz Superdome,2:55:00,
20181125JAXBUF,2018-11-25T13:00:00,2018,Week 12,57799,New Era Field,3:22:00,
20181125SEACAR,2018-11-25T13:00:00,2018,Week 12,74002,Bank of America Stadium,3:03:00,
20181125CLECIN,2018-11-25T13:00:00,2018,Week 12,56122,Paul Brown Stadium,3:18:00,
20181125NWENYJ,2018-11-25T13:00:00,2018,Week 12,77982,MetLife Stadium,2:58:00,
20181125NYGPHI,2018-11-25T13:00:00,2018,Week 12,69696,Lincoln Financial Field,3:06:00,
20181125OAKBAL,2018-11-25T13:00:00,2018,Week 12,70035,M&T Bank Stadium,3:02:00,
20181125SFOTAM,2018-11-25T13:00:00,2018,Week 12,50436,Raymond James Stadium,3:08:00,
20181125ARILAC,2018-11-25T16:05:00,2018,Week 12,25343,StubHub Center,2:45:00,
20181125MIAIND,2018-11-25T16:25:00,2018,Week 12,57069,Lucas Oil Stadium,2:56:00,closed
20181125PITDEN,2018-11-25T16:25:00,2018,Week 12,76536,Sports Authority Field at Mile High,3:03:00,
20181125GNBMIN,2018-11-25T20:20:00,2018,Week 12,66872,U.S. Bank Stadium,3:07:00,
20181126TENHOU,2018-11-26T20:15:00,2018,Week 12,71826,NRG Stadium,2:44:00,closed
20181129NORDAL,2018-11-29T20:20:00,2018,Week 13,93004,AT&T Stadium,2:58:00,closed
20181202BALATL,2018-12-02T13:00:00,2018,Week 13,72262,Mercedes-Benz Stadium,3:09:00,open
20181202BUFMIA,2018-12-02T13:00:00,2018,Week 13,65155,Hard Rock Stadium,3:10:00,
20181202CARTAM,2018-12-02T13:00:00,2018,Week 13,52568,Raymond James Stadium,3:02:00,
20181202CHINYG,2018-12-02T13:00:00,2018,Week 13,76465,MetLife Stadium,3:34:00,
20181202DENCIN,2018-12-02T13:00:00,2018,Week 13,44392,Paul Brown Stadium,3:13:00,
20181202CLEHOU,2018-12-02T13:00:00,2018,Week 13,71741,NRG Stadium,3:02:00,closed
