id,date,season
20190923CHIWAS,2019-09-23T20:15:00,2019
20190926PHIGNB,2019-09-26T20:20:00,2019
20190929TENATL,2019-09-29T13:00:00,2019
20190929NWEBUF,2019-09-29T13:00:00,2019
20190929CARHOU,2019-09-29T13:00:00,2019
20190929CLEBAL,2019-09-29T13:00:00,2019
20190929OAKIND,2019-09-29T13:00:00,2019
20190929KANDET,2019-09-29T13:00:00,2019
20190929LACMIA,2019-09-29T13:00:00,2019
20190929WASNYG,2019-09-29T13:00:00,2019
20190929SEAARI,2019-09-29T16:05:00,2019
20190929TAMLAR,2019-09-29T16:05:00,2019
20190929MINCHI,2019-09-29T16:25:00,2019
20190929JAXDEN,2019-09-29T16:25:00,2019
20190929DALNOR,2019-09-29T20:20:00,2019
20190930CINPIT,2019-09-30T20:15:00,2019
20191003LARSEA,2019-10-03T20:20:00,2019
20191006NYJPHI,2019-10-06T13:00:00,2019
20191006ATLHOU,2019-10-06T13:00:00,2019
20191006BUFTEN,2019-10-06T13:00:00,2019
20191006JAXCAR,2019-10-06T13:00:00,2019
20191006CHIOAK,2019-10-06T13:00:00,2019
20191006ARICIN,2019-10-06T13:00:00,2019
20191006MINNYG,2019-10-06T13:00:00,2019
20191006TAMNOR,2019-10-06T13:00:00,2019
20191006NWEWAS,2019-10-06T13:00:00,2019
20191006BALPIT,2019-10-06T13:00:00,2019
20191006DENLAC,2019-10-06T16:05:00,2019
20191006GNBDAL,2019-10-06T16:25:00,2019
20191006INDKAN,2019-10-06T20:20:00,2019
20191007CLESFO,2019-10-07T20:15:00,2019
20191010NYGNWE,2019-10-10T20:20:00,2019
20191013CARTAM,2019-10-13T09:30:00,2019
20191013WASMIA,2019-10-13T13:00:00,2019
20191013CINBAL,2019-10-13T13:00:00,2019
20191013SEACLE,2019-10-13T13:00:00,2019
20191013HOUKAN,2019-10-13T13:00:00,2019
20191013NORJAX,2019-10-13T13:00:00,2019
20191013PHIMIN,2019-10-13T13:00:00,2019
20191013ATLARI,2019-10-13T16:05:00,2019
20191013SFOLAR,2019-10-13T16:05:00,2019
20191013DALNYJ,2019-10-13T16:25:00,2019
20191013TENDEN,2019-10-13T16:25:00,2019
20191013PITLAC,2019-10-13T20:20:00,2019
20191014DETGNB,2019-10-14T20:15:00,2019
20191017KANDEN,2019-10-17T20:20:00,2019
20191020MIABUF,2019-10-20T13:00:00,2019
20191020HOUIND,2019-10-20T13:00:00,2019
20191020MINDET,2019-10-20T13:00:00,2019
20191020SFOWAS,2019-10-20T13:00:00,2019
20191020LARATL,2019-10-20T13:00:00,2019
20191020JAXCIN,2019-10-20T13:00:00,2019
20191020ARINYG,2019-10-20T13:00:00,2019
20191020OAKGNB,2019-10-20T13:00:00,2019
20191020LACTEN,2019-10-20T16:05:00,2019
20191020NORCHI,2019-10-20T16:25:00,2019
20191020BALSEA,2019-10-20T16:25:00,2019
20191020PHIDAL,2019-10-20T20:20:00,2019
20191021NWENYJ,2019-10-21T20:15:00,2019
20191024WASMIN,2019-10-24T20:20:00,2019
20191027PHIBUF,2019-10-27T13:00:00,2019
20191027LACCHI,2019-10-27T13:00:00,2019
20191027DENIND,2019-10-27T13:00:00,2019
20191027NYGDET,2019-10-27T13:00:00,2019
20191027SEAATL,2019-10-27T13:00:00,2019
20191027CINLAR,2019-10-27T13:00:00,2019
20191027ARINOR,2019-10-27T13:00:00,2019
20191027NYJJAX,2019-10-27T13:00:00,2019
20191027TAMTEN,2019-10-27T13:00:00,2019
20191027CARSFO,2019-10-27T16:05:00,2019
20191027CLENWE,2019-10-27T16:25:00,2019
20191027OAKHOU,2019-10-27T16:25:00,2019
20191027GNBKAN,2019-10-27T20:20:00,2019
20191028MIAPIT,2019-10-28T20:15:00,2019
